======================================================================
PAPER REPLICA: Willett et al. 2023 Decoder
  GPUs: [0, 1]
  Batch size: 64 (paper: 64)
  LR: 0.0003 → 0 linear decay (paper: 0.02)
  Adam epsilon: 1e-08 (paper: 0.1)
  Noise: white=0.2, offset=0.05
  Stack: kernel=1 (20ms), stride=1 (20ms)
  Dropout: 0.4, L2: 1e-05
  Direction: BIDIRECTIONAL
======================================================================
  Loading trial 2000/8780 (28.6s)...
  Loading trial 4000/8780 (49.3s)...
  Loading trial 6000/8780 (69.6s)...
  Loading trial 8000/8780 (89.9s)...
Loaded 8780 trials from /mnt/home/vincent.wilmet/brain2speech/data/sentences_train.h5 (97.5s)
  Stacked: kernel=1, stride=1
  Stacked features: 1280D per 20ms step
  Avg stacked length: 315 steps

Sessions: 24 (18 train, 2 val, 4 test)
Train session indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
Trials: 6260 train, 720 val, 1800 test

Model: PaperGRUSimple (bidirectional), 38.5M params
  Input: 1280D stacked features
  Hidden: 512 × 5 layers
  Day-specific layers: 18 trained, 6 shared

Training schedule:
  Batches/epoch: 97
  Max epochs: 103
  Scheduler: ReduceLROnPlateau
  LR: 0.0003
Epoch  56/103 | loss=0.6275 | val_PER=0.452 | lr=7.50e-05 | 35.7s
Epoch  57/103 | loss=0.6188 | val_PER=0.445 | lr=7.50e-05 | 37.3s
Epoch  58/103 | loss=0.6148 | val_PER=0.447 | lr=7.50e-05 | 37.5s
Epoch  59/103 | loss=0.6056 | val_PER=0.449 | lr=7.50e-05 | 37.2s
Epoch  60/103 | loss=0.5975 | val_PER=0.449 | lr=7.50e-05 | 37.3s
Epoch  61/103 | loss=0.6010 | val_PER=0.446 | lr=7.50e-05 | 36.6s
Epoch  62/103 | loss=0.5934 | val_PER=0.454 | lr=3.75e-05 | 35.9s
Epoch  63/103 | loss=0.5626 | val_PER=0.445 | lr=3.75e-05 | 35.4s
Epoch  64/103 | loss=0.5639 | val_PER=0.442 | lr=3.75e-05 | 36.2s
Epoch  65/103 | loss=0.5650 | val_PER=0.439 | lr=3.75e-05 | 36.1s
Epoch  66/103 | loss=0.5547 | val_PER=0.440 | lr=3.75e-05 | 37.1s
Epoch  67/103 | loss=0.5393 | val_PER=0.442 | lr=3.75e-05 | 35.8s
Epoch  68/103 | loss=0.5576 | val_PER=0.446 | lr=3.75e-05 | 35.9s
Epoch  69/103 | loss=0.5366 | val_PER=0.445 | lr=3.75e-05 | 35.7s
Epoch  70/103 | loss=0.5396 | val_PER=0.445 | lr=1.87e-05 | 35.6s
Epoch  71/103 | loss=0.5184 | val_PER=0.444 | lr=1.87e-05 | 36.8s
Epoch  72/103 | loss=0.5279 | val_PER=0.445 | lr=1.87e-05 | 36.6s
Epoch  73/103 | loss=0.5233 | val_PER=0.438 | lr=1.87e-05 | 37.2s
Epoch  74/103 | loss=0.5191 | val_PER=0.441 | lr=1.87e-05 | 36.6s
Epoch  75/103 | loss=0.5105 | val_PER=0.440 | lr=1.87e-05 | 36.1s
Epoch  76/103 | loss=0.5083 | val_PER=0.440 | lr=1.87e-05 | 35.9s
Epoch  77/103 | loss=0.5200 | val_PER=0.438 | lr=1.87e-05 | 36.4s
Epoch  78/103 | loss=0.5091 | val_PER=0.435 | lr=1.87e-05 | 36.4s
Epoch  79/103 | loss=0.5041 | val_PER=0.440 | lr=1.87e-05 | 36.0s
Epoch  80/103 | loss=0.5003 | val_PER=0.438 | lr=1.87e-05 | 36.3s
Epoch  81/103 | loss=0.5060 | val_PER=0.438 | lr=1.87e-05 | 35.9s
Epoch  82/103 | loss=0.4998 | val_PER=0.435 | lr=1.87e-05 | 36.7s
Epoch  83/103 | loss=0.4952 | val_PER=0.438 | lr=1.87e-05 | 36.6s
